 #!runNUM/      psfactor/       3of4/     prlo/      prhi/      shlo/       cer/      
1585      17      0.999738      97.717594      101.244400      97.811862      117.556327
1588      9      0.999463      98.506366      100.954879      98.510734      118.504225
1593      9      0.999783      98.593938      101.002516      98.536484      118.564387
1594      9      0.999649      98.507722      100.969843      98.464707      119.034630
1610      17      0.999447      97.668600      0.000000      97.786994      118.740358
1617      17      0.999610      97.604961      101.133986      97.797951      118.447864
1621      9      0.999788      98.584403      100.901696      98.540697      118.696800
1629      17      0.999442      97.766748      101.111125      97.882327      118.765681
1635      9      0.999784      98.586631      100.932125      98.547831      118.622005
1657      3      0.999805      98.498656      100.851702      98.469579      119.113677
1658      9      0.999629      98.638757      100.901641      98.563573      118.322036
1666      17      0.999734      97.672378      101.051942      97.740471      118.159860
1667      17      0.999585      97.681375      101.055105      97.807464      118.136409
1668      9      0.999615      97.570198      100.998213      97.722747      118.368300
1669      5      0.999696      97.518363      100.975091      97.707735      118.931269
1679      9      0.999744      98.598284      100.856161      98.531868      118.915985
1680      9      0.999753      98.598906      100.869918      98.553020      119.207157
1681      3      0.999873      98.496909      0.000000      98.452515      119.669778
1685      9      0.999485      96.970027      101.107735      97.218357      117.615632
1686      3      0.999827      96.937175      101.172993      97.189983      118.105484
1692      17      0.999762      97.694416      101.070388      97.782075      118.700705
1733      9      0.999803      98.541159      100.855048      98.474227      119.574464
1739      17      0.999830      97.718357      101.063923      97.817061      118.757913
1752      1      0.999700      98.497494      100.818311      98.471816      118.850767
1805      17      0.999647      96.231070      101.980326      96.380839      100.481387
1812      17      1.000000      97.621093      101.524562      97.758056      100.478657
1823      2      0.999656      96.101941      101.949724      96.337466      100.497729
1843      3      0.999791      96.133622      101.880607      96.369590      100.528312
1853      9      0.999468      97.652123      0.000000      97.711503      100.442294
1854      9      0.999621      97.625882      101.492432      97.687917      100.410416
1868      2      0.999687      96.181953      101.934446      96.407650      100.448714
1893      2      0.999612      96.064363      101.985872      96.321059      100.461771
1900      1      0.999739      97.702576      0.000000      97.693685      100.451329
1912      3      0.999709      96.133219      0.000000      96.375846      100.497331
1932      5      0.999172      96.147489      101.972615      96.333628      100.519410
1941      3      0.999462      97.796352      101.566681      97.728853      100.429695
1951      5      0.999669      96.145484      101.995228      96.369814      100.515141
1996      3      0.999248      96.107350      101.997222      96.324998      100.427482
2039      9      0.999224      94.073698      101.508479      94.870396      100.590715
2057      17      0.998801      96.195467      101.232313      96.528130      100.676132
2079      9      0.999402      94.205924      101.496619      94.919001      100.699750
2080      9      0.999233      94.125974      101.490583      94.862839      100.734919
